SU_ID,STATE,ECON2_hours_Human,ECON2_hours_LLM,WEEK
0020166411,NY,50.0,50.0,1
0020181845,NY,40.0,55.0,1
0020429686,NY,8.0,37.0,1
0020439063,NY,60.0,60.0,1
0020537812,NY,30.0,60.0,1
0020576013,NY,50.0,50.0,1
0020663118,NY,40.0,40.0,1
0021003450,NY,40.0,40.0,1
0021133214,NY,5.0,40.0,1
0021187972,NY,40.0,40.0,1
0021490474,NY,40.0,40.0,1
0021579467,NY,40.0,40.0,1
0021609478,NY,40.0,40.0,1
0021749865,NY,40.0,45.0,1
0021897232,NY,14.0,40.0,1
0021941544,NY,45.0,35.0,1
0022094074,NY,40.0,40.0,1
0022122078,NY,35.0,35.0,1
0022161312,NY,45.0,45.0,1
0022169636,NY,40.0,40.0,1
0022212118,NY,40.0,40.0,1
0022212372,NY,35.0,40.0,1
0022263070,NY,50.0,60.0,1
0022444369,NY,50.0,50.0,1
0022704691,NY,42.0,35.0,1
0022708444,NY,60.0,55.0,1
0022737592,NY,55.0,45.0,1
0022787362,NY,50.0,50.0,1
0022854467,NY,40.0,40.0,1
0022885978,NY,40.0,40.0,1
0022911329,NY,45.0,55.0,1
0023062091,NY,40.0,40.0,1
0023108515,NY,40.0,50.0,1
0023154644,NY,30.0,70.0,1
0023482134,NY,16.0,35.0,1
0023568401,NY,55.0,40.0,1
0023619406,NY,40.0,50.0,1
0023704936,NY,55.0,55.0,1
0023750227,NY,40.0,40.0,1
0023819170,NY,20.0,40.0,1
0023858111,NY,40.0,40.0,1
0023873903,NY,40.0,40.0,1
0024023264,NY,35.0,35.0,1
0024035708,NY,6.0,40.0,1
0024230786,NY,50.0,50.0,1
0024244591,NY,40.0,40.0,1
0024283279,NY,43.0,45.0,1
0024608475,NY,30.0,30.0,1
0024737301,NY,40.0,42.0,1
0024759555,NY,36.0,36.0,1
0024788747,NY,40.0,40.0,1
0024874580,NY,15.0,35.0,1
0025187757,NY,35.0,35.0,1
0025236999,NY,41.0,50.0,1
0025459590,NY,60.0,40.0,1
0025501111,NY,35.0,40.0,1
0025570306,NY,44.0,40.0,1
0025601336,NY,40.0,40.0,1
0025604439,NY,40.0,35.0,1
0025622147,NY,52.0,45.0,1
0025839605,NY,40.0,40.0,1
0025841770,NY,40.0,60.0,1
0025878276,NY,38.0,45.0,1
0025980538,NY,40.0,40.0,1
0026067074,NY,25.0,40.0,1
0026156048,NY,45.0,50.0,1
0026193565,NY,30.0,40.0,1
0026243344,NY,50.0,40.0,1
0026297396,NY,35.0,40.0,1
0026345548,NY,40.0,40.0,1
0026580781,NY,40.0,46.0,1
0026592345,NY,38.0,38.0,1
0026651808,NY,15.0,40.0,1
0026670998,NY,10.0,40.0,1
0026735685,NY,40.0,40.0,1
0026766407,NY,60.0,45.0,1
0026860754,NY,20.0,40.0,1
0026944990,NY,40.0,40.0,1
0026972213,NY,40.0,60.0,1
0027027552,NY,40.0,40.0,1
0027055533,NY,40.0,55.0,1
0027277121,NY,40.0,40.0,1
0027448953,NY,40.0,50.0,1
0027465196,NY,40.0,40.0,1
0027511455,NY,40.0,40.0,1
0027560923,NY,50.0,40.0,1
0027674471,NY,40.0,40.0,1
0027874236,NY,45.0,50.0,1
0027938461,NY,30.0,30.0,1
0028006223,NY,40.0,40.0,1
0028036661,NY,44.0,40.0,1
0028203739,NY,30.0,30.0,1
0028383261,NY,60.0,55.0,1
0028578335,NY,44.0,40.0,1
0028613962,NY,36.0,40.0,1
0028724424,NY,37.0,37.0,1
0028739293,NY,54.0,42.0,1
0028773930,NY,1.0,40.0,1
0028774571,NY,40.0,60.0,1
0028899326,NY,43.0,37.0,1
0028920191,NY,40.0,40.0,1
0029098149,NY,21.0,35.0,1
0029126896,NY,55.0,55.0,1
0029235814,NY,55.0,45.0,1
0029515875,NY,40.0,40.0,1
0029556728,NY,40.0,40.0,1
0029564830,NY,45.0,40.0,1
0029587124,NY,40.0,40.0,1
0029693361,NY,20.0,60.0,1
0029826099,NY,40.0,40.0,1
0029842450,NY,45.0,45.0,1
0029932682,NY,40.0,40.0,1
0029950198,NY,40.0,40.0,1
0029956590,NY,40.0,35.0,1
0040000467,NY,12.0,24.0,1
0040000722,NY,40.0,40.0,1
0040000955,NY,40.0,40.0,1
0040001443,NY,30.0,40.0,1
0040001974,NY,50.0,50.0,1
0040002153,NY,40.0,40.0,1
0040002286,NY,20.0,35.0,1
0040002467,NY,40.0,30.0,1
0040002859,NY,40.0,40.0,1
0040003253,NY,12.0,35.0,1
0040003712,NY,9.0,35.0,1
0040004404,NY,38.0,38.0,1
0040004652,NY,35.0,35.0,1
0040005075,NY,40.0,60.0,1
0040005727,NY,35.0,35.0,1
0040006092,NY,45.0,45.0,1
0040006093,NY,10.0,10.0,1
0040006231,NY,40.0,40.0,1
0040006639,NY,45.0,45.0,1
0040007162,NY,60.0,40.0,1
0040007413,NY,22.0,20.0,1
0040007917,NY,40.0,40.0,1
0040009553,NY,40.0,40.0,1
0040009984,NY,38.0,37.0,1
0040010245,NY,0.0,45.0,1
0040010320,NY,45.0,40.0,1
0040010323,NY,37.0,37.0,1
0040010396,NY,40.0,40.0,1
0040010471,NY,46.0,46.0,1
0040010499,NY,35.0,40.0,1
0040010501,NY,12.0,12.0,1
0040010510,NY,65.0,65.0,1
0040010658,NY,40.0,40.0,1
0040010661,NY,40.0,48.0,1
0040010795,NY,44.0,40.0,1
0040010796,NY,0.0,40.0,1
0040010810,NY,40.0,40.0,1
0040010998,NY,46.0,58.0,1
0040011005,NY,40.0,40.0,1
0040011030,NY,40.0,40.0,1
0020327679,TX,40.0,40.0,1
0020341350,TX,40.0,40.0,1
0021103677,TX,40.0,40.0,1
0021211219,TX,60.0,60.0,1
0021255077,TX,8.0,40.0,1
0021537016,TX,40.0,40.0,1
0021661677,TX,32.0,40.0,1
0021663837,TX,40.0,40.0,1
0021841457,TX,40.0,40.0,1
0022035321,TX,45.0,40.0,1
0022062210,TX,40.0,40.0,1
0022224590,TX,40.0,40.0,1
0022718050,TX,40.0,50.0,1
0022845373,TX,40.0,40.0,1
0023200996,TX,40.0,50.0,1
0023304968,TX,40.0,40.0,1
0023383882,TX,30.0,32.0,1
0023385955,TX,40.0,40.0,1
0023401672,TX,40.0,40.0,1
0023413941,TX,50.0,50.0,1
0023504339,TX,60.0,60.0,1
0023911118,TX,40.0,40.0,1
0024191919,TX,40.0,40.0,1
0024251857,TX,36.0,44.0,1
0024359182,TX,24.0,40.0,1
0024387493,TX,50.0,50.0,1
0024757274,TX,40.0,55.0,1
0024760680,TX,40.0,40.0,1
0024984071,TX,20.0,20.0,1
0025198869,TX,40.0,40.0,1
0025271675,TX,40.0,40.0,1
0025460809,TX,50.0,65.0,1
0025466408,TX,40.0,50.0,1
0025479087,TX,40.0,40.0,1
0025704709,TX,20.0,40.0,1
0025798872,TX,40.0,30.0,1
0026008130,TX,40.0,40.0,1
0026085243,TX,40.0,40.0,1
0026102972,TX,40.0,40.0,1
0026112784,TX,40.0,60.0,1
0026168275,TX,40.0,40.0,1
0026187319,TX,32.0,40.0,1
0026197084,TX,15.0,20.0,1
0026211749,TX,40.0,40.0,1
0026632004,TX,40.0,40.0,1
0026892998,TX,40.0,40.0,1
0027014635,TX,35.0,42.0,1
0027136926,TX,8.0,40.0,1
0027219242,TX,36.0,36.0,1
0027225610,TX,40.0,40.0,1
0027690058,TX,40.0,40.0,1
0027776906,TX,50.0,50.0,1
0028151716,TX,20.0,60.0,1
0028230770,TX,40.0,40.0,1
0028338419,TX,3.0,37.0,1
0028498837,TX,40.0,40.0,1
0028603607,TX,40.0,40.0,1
0028618531,TX,45.0,45.0,1
0028778636,TX,30.0,30.0,1
0028826943,TX,40.0,40.0,1
0029189590,TX,40.0,40.0,1
0029504669,TX,40.0,40.0,1
0029529847,TX,10.0,20.0,1
0040000022,TX,45.0,45.0,1
0040000345,TX,60.0,75.0,1
0040001651,TX,40.0,40.0,1
0040001783,TX,19.0,19.0,1
0040002011,TX,50.0,50.0,1
0040002094,TX,40.0,40.0,1
0040002217,TX,40.0,40.0,1
0040002371,TX,40.0,40.0,1
0040002390,TX,8.0,40.0,1
0040003629,TX,35.0,50.0,1
0040004430,TX,40.0,40.0,1
0040004452,TX,5.0,40.0,1
0040005146,TX,40.0,40.0,1
0040005312,TX,40.0,40.0,1
0040005595,TX,20.0,40.0,1
0040005900,TX,40.0,40.0,1
0040005930,TX,26.0,55.0,1
0040005969,TX,40.0,40.0,1
0040006077,TX,12.0,0.0,1
0040006634,TX,42.0,52.0,1
0040007767,TX,16.0,36.0,1
0040007802,TX,40.0,40.0,1
0040008028,TX,40.0,40.0,1
0040008448,TX,62.0,60.0,1
0040008829,TX,40.0,40.0,1
0040008837,TX,40.0,40.0,1
0040008994,TX,26.0,25.0,1
0040009173,TX,40.0,56.0,1
0040009244,TX,20.0,40.0,1
0040009478,TX,50.0,50.0,1
0040009814,TX,42.0,43.0,1
0040009880,TX,20.0,40.0,1
0040010168,TX,40.0,40.0,1
0040010307,TX,24.0,40.0,1
0040010326,TX,50.0,50.0,1
0040010453,TX,25.0,25.0,1
0040010459,TX,40.0,40.0,1
0040010668,TX,70.0,70.0,1
0040010701,TX,40.0,40.0,1
0040010709,TX,40.0,40.0,1
0040010718,TX,25.0,40.0,1
0040010728,TX,20.0,40.0,1
0040010777,TX,40.0,40.0,1
0040010868,TX,20.0,20.0,1
0040010915,TX,55.0,60.0,1
0020082355,NY,35.0,35.0,2
0020092622,NY,40.0,46.0,2
0020111701,NY,40.0,40.0,2
0020241533,NY,40.0,40.0,2
0020304751,NY,40.0,40.0,2
0020361535,NY,40.0,40.0,2
0020388779,NY,5.0,35.0,2
0020423435,NY,40.0,40.0,2
0020529303,NY,42.0,46.0,2
0020641570,NY,50.0,45.0,2
0020712724,NY,25.0,35.0,2
0020768183,NY,20.0,20.0,2
0020783643,NY,50.0,50.0,2
0020839293,NY,40.0,40.0,2
0021192352,NY,40.0,40.0,2
0021349945,NY,28.0,38.0,2
0021382341,NY,35.0,35.0,2
0021497489,NY,40.0,40.0,2
0021589556,NY,70.0,70.0,2
0021600547,NY,35.0,35.0,2
0021642020,NY,40.0,40.0,2
0021859396,NY,40.0,40.0,2
0021921288,NY,40.0,40.0,2
0022042113,NY,40.0,40.0,2
0022049869,NY,27.0,27.0,2
0022104504,NY,35.0,40.0,2
